decoded_genres,profitability,ROI,averagerating,numvotes
Musical,422128679.875,2.743061781784361,6.375000000000001,97406.5
Animation,294693182.0673077,2.7798451464992855,6.641346153846156,132345.33653846153
Adventure,260415375.11173186,2.2148089901484056,6.48324022346368,212069.61731843575
Sci-Fi,254286628.2279412,2.592439805975071,6.486029411764706,283766.7132352941
Fantasy,179408417.304,2.305332882230674,6.188799999999999,161787.656
Action,171107438.38084632,1.7058059765869142,6.283073496659238,186938.95100222717
Family,142922490.47916666,1.7954991584428044,6.094791666666668,84598.85416666667
Comedy,102373491.52964427,2.2595507307720153,6.246442687747036,97479.56126482213
Thriller,84967770.98880596,5.284177734056478,6.044776119402982,122625.34701492537
Music,72694381.13333334,3.1520808443019823,6.328888888888889,83080.77777777778
Mystery,70473210.2992126,8.938879732404247,6.183464566929136,138140.3937007874
Biography,65405018.03401361,2.6479738737026977,7.087755102040817,125528.41496598639
History,64859439.86666667,1.993887329172985,7.097777777777777,119168.26666666666
Horror,58060396.37569061,8.137345942488905,5.503867403314919,68418.2320441989
Crime,51863396.9218107,1.2862454834669115,6.373662551440332,121642.90123456791
Western,51696142.1,0.547148042218662,6.3999999999999995,197898.7
Drama,51212257.71390729,2.3708220625118606,6.6147019867549695,108789.99072847683
Romance,45841879.219251335,2.592081435226838,6.346524064171123,82661.40106951872
Unknown,38278139.0,0.9370044565656567,6.949999999999999,17.0
War,32470456.4375,0.5108382627205669,6.54375,79097.8125
Sport,31747962.40625,1.1710798925190091,6.93125,81208.59375
Documentary,21043547.32142857,1.8651029573970834,6.753571428571428,10135.0
